"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"field.video_filter_1.label","Video filter 1 (-vf)","Відео фільтр 1 (-vf)","Видео фильтр 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)","Video filter 1 (-vf)"
"field.video_filter_1.description","First grouped FFmpeg video filter in the chain.","Перший згрупований відеофільтр FFmpeg у ланцюжку.","Первый сгруппированный видеофильтр FFmpeg в цепочке.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain.","First grouped FFmpeg video filter in the chain."
"field.video_filter_2.label","Video filter 2 (-vf)","Відео фільтр 2 (-vf)","Видео фильтр 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)","Video filter 2 (-vf)"
"field.video_filter_2.description","Second grouped FFmpeg video filter in the chain.","Другий згрупований відеофільтр FFmpeg у ланцюжку.","Второй сгруппированный видеофильтр FFmpeg в цепочке.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain.","Second grouped FFmpeg video filter in the chain."
"field.video_filter_3.label","Video filter 3 (-vf)","Відео фільтр 3 (-vf)","Видео фильтр 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)","Video filter 3 (-vf)"
"field.video_filter_3.description","Third grouped FFmpeg video filter in the chain.","Третій згрупований відеофільтр FFmpeg у ланцюжку.","Третий сгруппированный видеофильтр FFmpeg в цепочке.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain.","Third grouped FFmpeg video filter in the chain."
"field.video_eq_brightness.label","eq brightness (brightness)","eq brightness (яскравість)","eq brightness (яркость)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)","eq brightness (brightness)"
"field.video_eq_brightness.description","Used only when eq is selected. Range -1..1.","Використовується лише коли вибрано eq. Діапазон -1..1.","Используется только при выбранном eq. Диапазон -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1.","Used only when eq is selected. Range -1..1."
"field.video_eq_contrast.label","eq contrast (contrast)","eq contrast (контраст)","eq contrast (контраст)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)","eq contrast (contrast)"
"field.video_eq_contrast.description","Used only when eq is selected. 1 keeps original contrast.","Використовується лише коли вибрано eq. 1 зберігає початковий контраст.","Используется только при выбранном eq. 1 сохраняет исходный контраст.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast.","Used only when eq is selected. 1 keeps original contrast."
"field.video_eq_saturation.label","eq saturation (color intensity)","eq saturation (насиченість)","eq saturation (насыщенность)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)","eq saturation (color intensity)"
"field.video_eq_saturation.description","Used only when eq is selected. 1 keeps original saturation.","Використовується лише коли вибрано eq. 1 зберігає початкову насиченість.","Используется только при выбранном eq. 1 сохраняет исходную насыщенность.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation.","Used only when eq is selected. 1 keeps original saturation."
"field.video_denoise_strength.label","hqdn3d strength (denoise)","hqdn3d strength (шумозаглушення)","hqdn3d strength (шумоподавление)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)","hqdn3d strength (denoise)"
"field.video_denoise_strength.description","Used only when hqdn3d is selected. Higher values remove more noise.","Використовується лише при hqdn3d. Чим вище значення, тим сильніше шумозаглушення.","Используется только при hqdn3d. Чем выше значение, тем сильнее шумоподавление.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise.","Used only when hqdn3d is selected. Higher values remove more noise."
"field.video_sharpen_strength.label","unsharp amount (sharpen)","unsharp amount (різкість)","unsharp amount (резкость)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)","unsharp amount (sharpen)"
"field.video_sharpen_strength.description","Used only when unsharp is selected. Higher values sharpen more.","Використовується лише при unsharp. Чим вище значення, тим сильніша різкість.","Используется только при unsharp. Чем выше значение, тем сильнее резкость.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more.","Used only when unsharp is selected. Higher values sharpen more."
"field.video_text.label","drawtext text (caption)","drawtext text (текст на відео)","drawtext text (текст на видео)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)","drawtext text (caption)"
"field.video_text.description","Used only when drawtext is selected. Text is placed near the bottom center.","Використовується лише при drawtext. Текст розміщується знизу по центру.","Используется только при drawtext. Текст размещается снизу по центру.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center.","Used only when drawtext is selected. Text is placed near the bottom center."
"field.advanced_video_filters.label","raw -vf chain (advanced)","raw -vf ланцюжок (для досвідчених)","raw -vf цепочка (для опытных)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)","raw -vf chain (advanced)"
"field.advanced_video_filters.description","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Необов’язковий ланцюжок відеофільтрів FFmpeg після згрупованих фільтрів, наприклад curves=preset=medium_contrast.","Необязательная цепочка видеофильтров FFmpeg после сгруппированных фильтров, например curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast.","Optional FFmpeg video filter chain appended after grouped filters, for example curves=preset=medium_contrast."
"field.audio_filter_1.label","Audio filter 1 (-af)","Аудіо фільтр 1 (-af)","Аудио фильтр 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)","Audio filter 1 (-af)"
"field.audio_filter_1.description","First grouped FFmpeg audio filter in the chain.","Перший згрупований аудіофільтр FFmpeg у ланцюжку.","Первый сгруппированный аудиофильтр FFmpeg в цепочке.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain.","First grouped FFmpeg audio filter in the chain."
"field.audio_filter_2.label","Audio filter 2 (-af)","Аудіо фільтр 2 (-af)","Аудио фильтр 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)","Audio filter 2 (-af)"
"field.audio_filter_2.description","Second grouped FFmpeg audio filter in the chain.","Другий згрупований аудіофільтр FFmpeg у ланцюжку.","Второй сгруппированный аудиофильтр FFmpeg в цепочке.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain.","Second grouped FFmpeg audio filter in the chain."
"field.audio_filter_3.label","Audio filter 3 (-af)","Аудіо фільтр 3 (-af)","Аудио фильтр 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)","Audio filter 3 (-af)"
"field.audio_filter_3.description","Third grouped FFmpeg audio filter in the chain.","Третій згрупований аудіофільтр FFmpeg у ланцюжку.","Третий сгруппированный аудиофильтр FFmpeg в цепочке.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain.","Third grouped FFmpeg audio filter in the chain."
"field.audio_highpass_hz.label","highpass=f (cut low Hz)","highpass=f (зріз низьких Hz)","highpass=f (срез низких Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)","highpass=f (cut low Hz)"
"field.audio_highpass_hz.description","Used only when highpass is selected. Removes rumble below this frequency.","Використовується лише при highpass. Прибирає гул нижче цієї частоти.","Используется только при highpass. Убирает гул ниже этой частоты.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency.","Used only when highpass is selected. Removes rumble below this frequency."
"field.audio_lowpass_hz.label","lowpass=f (cut high Hz)","lowpass=f (зріз високих Hz)","lowpass=f (срез высоких Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)","lowpass=f (cut high Hz)"
"field.audio_lowpass_hz.description","Used only when lowpass is selected. Removes sound above this frequency.","Використовується лише при lowpass. Прибирає звук вище цієї частоти.","Используется только при lowpass. Убирает звук выше этой частоты.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency.","Used only when lowpass is selected. Removes sound above this frequency."
"field.audio_fade_seconds.label","afade d (fade seconds)","afade d (секунди fade-in)","afade d (секунды fade-in)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)","afade d (fade seconds)"
"field.audio_fade_seconds.description","Used only when afade is selected. Applies a fade-in from the beginning.","Використовується лише при afade. Робить плавну появу звуку з початку.","Используется только при afade. Делает плавное появление звука с начала.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning.","Used only when afade is selected. Applies a fade-in from the beginning."
"field.advanced_audio_filters.label","raw -af chain (advanced)","raw -af ланцюжок (для досвідчених)","raw -af цепочка (для опытных)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)","raw -af chain (advanced)"
"field.advanced_audio_filters.description","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Необов’язковий ланцюжок аудіофільтрів FFmpeg після згрупованих фільтрів, наприклад equalizer=f=1000:t=q:w=1:g=3.","Необязательная цепочка аудиофильтров FFmpeg после сгруппированных фильтров, например equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3.","Optional FFmpeg audio filter chain appended after grouped filters, for example equalizer=f=1000:t=q:w=1:g=3."
"option.output_container.mkv","MKV .mkv (flexible video container)","MKV .mkv (гнучкий відеоконтейнер)","MKV .mkv (гибкий видеоконтейнер)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)","MKV .mkv (flexible video container)"
"option.output_container.webm","WebM .webm (web video, VP9/Opus)","WebM .webm (відео для сайту, VP9/Opus)","WebM .webm (видео для сайта, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)","WebM .webm (web video, VP9/Opus)"
"option.output_container.wav","WAV .wav (uncompressed audio)","WAV .wav (нестиснене аудіо)","WAV .wav (несжатое аудио)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)","WAV .wav (uncompressed audio)"
"option.output_container.aac","AAC .aac (compressed audio)","AAC .aac (стиснене аудіо)","AAC .aac (сжатое аудио)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)","AAC .aac (compressed audio)"
"option.output_container.flac","FLAC .flac (lossless audio)","FLAC .flac (аудіо без втрат)","FLAC .flac (аудио без потерь)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)","FLAC .flac (lossless audio)"
"option.output_container.ogg","OGG .ogg (Vorbis audio)","OGG .ogg (аудіо Vorbis)","OGG .ogg (аудио Vorbis)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)","OGG .ogg (Vorbis audio)"
"option.output_container.gif","GIF .gif (animation from video)","GIF .gif (анімація з відео)","GIF .gif (анимация из видео)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)","GIF .gif (animation from video)"
"option.gif_dither.sierra2_4a","sierra2_4a (best default)","sierra2_4a (найкращий дефолт)","sierra2_4a (лучший дефолт)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)","sierra2_4a (best default)"
"option.gif_dither.bayer","bayer (stable pattern)","bayer (стабільний візерунок)","bayer (стабильный узор)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)","bayer (stable pattern)"
"option.gif_dither.none","none (no dithering)","none (без dithering)","none (без dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)","none (no dithering)"
"option.video_codec.libaom-av1","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 кодек на CPU)","libaom-av1 (AV1 кодек на CPU)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)","libaom-av1 (AV1 CPU encoder)"
"option.video_filter.none","None (no extra video filter)","Немає (без дод. відеофільтра)","Нет (без доп. видеофильтра)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)","None (no extra video filter)"
"option.video_filter.hflip","hflip (mirror left/right)","hflip (дзеркально зліва направо)","hflip (зеркально слева направо)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)","hflip (mirror left/right)"
"option.video_filter.vflip","vflip (mirror top/bottom)","vflip (дзеркально зверху вниз)","vflip (зеркально сверху вниз)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)","vflip (mirror top/bottom)"
"option.video_filter.rotate_90","transpose=1 (rotate 90 degrees)","transpose=1 (поворот на 90 градусів)","transpose=1 (поворот на 90 градусов)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)","transpose=1 (rotate 90 degrees)"
"option.video_filter.grayscale","format=gray (black and white)","format=gray (чорно-біле)","format=gray (чёрно-белое)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)","format=gray (black and white)"
"option.video_filter.eq","eq (brightness/contrast/saturation)","eq (яскравість/контраст/насиченість)","eq (яркость/контраст/насыщенность)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)","eq (brightness/contrast/saturation)"
"option.video_filter.denoise","hqdn3d (denoise)","hqdn3d (шумозаглушення)","hqdn3d (шумоподавление)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)","hqdn3d (denoise)"
"option.video_filter.sharpen","unsharp (sharpen)","unsharp (різкість)","unsharp (резкость)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)","unsharp (sharpen)"
"option.video_filter.deinterlace","yadif (deinterlace)","yadif (деінтерлейс)","yadif (деинтерлейс)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)","yadif (deinterlace)"
